inning_number,half,out,runner_on_1b,runner_on_2b,runner_on_3b,score_diff,total_games,home_wins,win_expectancy
2,bot,2,1,1,0,-3,29,5,0.1724137931034483
2,bot,2,1,0,1,-1,28,10,0.35714285714285715
2,bot,2,0,1,1,1,27,17,0.6296296296296297
2,bot,2,1,1,0,4,26,23,0.8846153846153846
2,bot,2,1,1,1,2,26,18,0.6923076923076923
2,bot,2,1,0,1,3,25,20,0.8
2,bot,2,1,0,1,-2,24,6,0.25
2,bot,2,1,0,1,2,24,19,0.7916666666666666
2,bot,2,1,1,1,-1,24,11,0.4583333333333333
2,bot,2,0,1,0,-2,23,7,0.30434782608695654
2,bot,2,0,1,1,2,23,16,0.6956521739130435
2,bot,2,0,0,0,-5,22,1,0.045454545454545456
2,bot,2,0,0,0,5,22,21,0.9545454545454546
2,bot,2,0,0,1,-1,21,7,0.3333333333333333
2,bot,2,0,1,0,4,20,18,0.9
2,bot,2,0,0,1,2,19,15,0.7894736842105263
2,bot,2,0,0,1,4,19,16,0.8421052631578947
2,bot,2,0,1,1,-1,18,11,0.6111111111111112
2,bot,2,1,1,1,-2,18,3,0.16666666666666666
2,bot,2,0,0,1,3,17,14,0.8235294117647058
2,bot,2,1,0,0,-5,17,1,0.058823529411764705
2,bot,2,0,1,0,-3,16,5,0.3125
2,bot,2,1,1,0,-4,16,0,0.0
2,bot,2,1,0,0,5,15,13,0.8666666666666667
2,bot,2,1,1,0,5,13,9,0.6923076923076923
2,bot,2,1,1,1,3,13,8,0.6153846153846154
2,bot,2,0,0,1,-2,10,1,0.1
2,bot,2,1,0,1,4,9,8,0.8888888888888888
2,bot,2,1,1,1,-3,8,2,0.25
2,bot,2,1,1,0,-5,7,2,0.2857142857142857
2,bot,2,1,1,1,4,7,7,1.0
2,bot,2,1,0,1,-4,6,0,0.0
2,bot,2,1,0,1,-3,6,2,0.3333333333333333
2,bot,2,1,0,1,5,6,4,0.6666666666666666
2,bot,2,0,0,1,-4,5,3,0.6
2,bot,2,0,1,0,5,5,5,1.0
2,bot,2,0,1,1,3,5,5,1.0
2,bot,2,1,0,1,-5,5,1,0.2
2,bot,2,0,0,1,-3,4,1,0.25
2,bot,2,0,1,1,-3,4,1,0.25
2,bot,2,0,1,1,-2,4,2,0.5
2,bot,2,0,1,0,-5,3,1,0.3333333333333333
2,bot,2,0,1,0,-4,3,0,0.0
2,bot,2,0,1,1,-4,3,0,0.0
2,bot,2,0,1,1,4,3,2,0.6666666666666666
2,bot,2,0,0,1,-5,2,0,0.0
2,bot,2,0,0,1,5,2,2,1.0
2,bot,2,1,1,1,-4,2,0,0.0
2,bot,2,1,1,1,5,2,2,1.0
2,bot,2,0,1,1,-5,1,0,0.0
2,bot,2,0,1,1,5,1,1,1.0
2,bot,2,1,1,1,-5,1,0,0.0
2,bot,3,0,0,0,0,621,262,0.4219001610305958
2,bot,3,1,0,0,0,232,113,0.4870689655172414
2,bot,3,0,0,0,-1,214,63,0.29439252336448596
2,bot,3,0,0,0,1,214,117,0.5467289719626168
2,bot,3,0,0,0,-2,125,24,0.192
2,bot,3,0,0,0,2,117,85,0.7264957264957265
2,bot,3,0,1,0,0,114,57,0.5
2,bot,3,1,0,0,1,103,52,0.5048543689320388
2,bot,3,1,0,0,-1,99,32,0.32323232323232326
2,bot,3,1,1,0,0,95,48,0.5052631578947369
2,bot,3,0,0,0,-3,78,16,0.20512820512820512
2,bot,3,0,0,0,3,69,56,0.8115942028985508
2,bot,3,0,1,0,1,61,33,0.5409836065573771
2,bot,3,1,1,0,1,57,42,0.7368421052631579
2,bot,3,1,0,0,2,56,36,0.6428571428571429
2,bot,3,1,0,0,-2,55,17,0.3090909090909091
2,bot,3,0,0,1,0,48,19,0.3958333333333333
2,bot,3,1,1,0,-1,46,14,0.30434782608695654
2,bot,3,0,1,0,-1,42,12,0.2857142857142857
2,bot,3,1,0,0,3,42,29,0.6904761904761905
2,bot,3,0,1,1,0,41,17,0.4146341463414634
2,bot,3,1,0,1,0,41,19,0.4634146341463415
2,bot,3,0,1,0,2,38,24,0.631578947368421
2,bot,3,0,0,1,1,36,23,0.6388888888888888
2,bot,3,1,1,1,0,36,15,0.4166666666666667
2,bot,3,1,1,0,2,34,19,0.5588235294117647
2,bot,3,0,0,0,-4,32,4,0.125
2,bot,3,1,0,0,-3,32,6,0.1875
2,bot,3,1,1,1,1,29,11,0.3793103448275862
2,bot,3,1,1,0,-2,27,9,0.3333333333333333
2,bot,3,0,1,0,3,26,16,0.6153846153846154
